date,primary_type,district,arrest,year
2009-10-21 00:01:00+00:00,CRIMINAL DAMAGE,25,False,2009
2020-01-02 20:04:00+00:00,THEFT,25,False,2020
2023-10-21 14:20:00+00:00,WEAPONS VIOLATION,1,True,2023
2021-10-12 21:30:00+00:00,BATTERY,1,False,2021
2023-08-05 22:30:00+00:00,THEFT,1,False,2023
2021-01-05 13:00:00+00:00,DECEPTIVE PRACTICE,1,False,2021
2020-08-14 09:00:00+00:00,DECEPTIVE PRACTICE,1,False,2020
2004-01-18 22:50:00+00:00,NARCOTICS,3,True,2004
2007-10-17 12:00:00+00:00,BURGLARY,3,False,2007
2014-08-03 22:30:00+00:00,BATTERY,3,False,2014
2016-01-29 12:00:00+00:00,THEFT,3,False,2016
2012-07-15 19:30:00+00:00,THEFT,4,True,2012
2011-09-15 07:20:00+00:00,ROBBERY,4,False,2011
2006-10-23 23:06:09+00:00,BATTERY,4,False,2006
2006-06-26 14:20:00+00:00,NARCOTICS,4,True,2006
2002-09-12 16:30:00+00:00,NARCOTICS,4,True,2002
2013-07-15 21:15:00+00:00,BATTERY,4,False,2013
2001-07-09 21:00:00+00:00,BATTERY,4,False,2001
2004-01-08 11:00:13+00:00,OTHER OFFENSE,4,False,2004
2004-12-29 00:01:00+00:00,DECEPTIVE PRACTICE,5,False,2004
2004-08-30 17:05:00+00:00,BATTERY,5,False,2004
2006-02-21 10:00:00+00:00,DECEPTIVE PRACTICE,6,False,2006
2003-03-29 15:50:00+00:00,ROBBERY,6,True,2003
2024-09-17 00:32:00+00:00,CRIMINAL DAMAGE,6,False,2024
2020-07-04 19:00:00+00:00,OFFENSE INVOLVING CHILDREN,6,False,2020
2003-04-23 15:00:00+00:00,OTHER OFFENSE,6,False,2003
2004-08-21 17:12:29+00:00,THEFT,6,False,2004
2010-09-26 23:00:00+00:00,CRIMINAL DAMAGE,6,False,2010
2003-01-24 06:12:16+00:00,ARSON,7,False,2003
2008-07-13 09:00:00+00:00,ASSAULT,8,False,2008
2008-01-12 02:00:00+00:00,THEFT,8,False,2008
2016-12-24 03:20:00+00:00,CRIMINAL DAMAGE,8,False,2016
2015-03-18 14:50:00+00:00,BATTERY,8,False,2015
2015-05-15 15:00:00+00:00,ASSAULT,8,False,2015
2014-12-27 11:00:00+00:00,THEFT,8,False,2014
2021-06-20 12:25:00+00:00,ROBBERY,8,True,2021
2015-10-14 13:00:00+00:00,THEFT,9,False,2015
2018-05-13 09:00:00+00:00,BATTERY,9,False,2018
2011-07-02 17:00:00+00:00,BATTERY,9,False,2011
2012-09-26 03:30:00+00:00,THEFT,9,False,2012
2001-11-28 00:00:00+00:00,THEFT,9,False,2001
2004-07-19 17:15:00+00:00,THEFT,10,False,2004
2009-07-20 19:30:00+00:00,THEFT,10,False,2009
2006-05-18 01:08:00+00:00,BURGLARY,11,False,2006
2021-09-05 16:15:00+00:00,THEFT,11,False,2021
2016-05-26 18:00:00+00:00,NARCOTICS,12,True,2016
2022-10-19 22:30:00+00:00,BURGLARY,12,False,2022
2004-02-07 16:45:00+00:00,BATTERY,12,False,2004
2002-07-08 15:30:00+00:00,THEFT,14,False,2002
2003-08-01 00:15:00+00:00,NARCOTICS,14,True,2003
2006-01-11 21:30:00+00:00,OTHER OFFENSE,14,False,2006
2022-05-14 14:07:00+00:00,THEFT,14,False,2022
2010-01-01 00:00:00+00:00,BATTERY,15,False,2010
2012-10-31 16:30:00+00:00,ASSAULT,15,False,2012
2017-03-28 15:42:00+00:00,ROBBERY,15,False,2017
2020-05-10 06:50:00+00:00,BATTERY,15,False,2020
2005-11-21 06:20:00+00:00,THEFT,15,False,2005
2019-10-02 20:00:00+00:00,CRIMINAL DAMAGE,16,False,2019
